STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
061800,99999, 19970511,   51.8,24,   46.6,24, 1012.8,24, 1012.2,24,   8.6,24,  11.0,24,  15.0, 999.9,   61.5 ,  45.1 , 0.00E,999.9, 010010,
061800,99999, 19970512,   54.6,24,   48.8,24, 1018.6,24, 1018.0,24,   7.8,24,   8.6,24,  14.0, 999.9,   61.7 ,  46.4*, 0.39E,999.9, 110000,
061800,99999, 19970513,   53.0,24,   46.3,24, 1025.0,24, 1024.4,24,   5.8,24,   7.9,24,  12.0, 999.9,   62.6*,  42.6 , 0.00D,999.9, 100000,
061800,99999, 19970514,   51.3,24,   48.7,24, 1021.4,24, 1020.8,24,   5.9,24,   8.6,24,  15.0, 999.9,   57.2*,  48.2*, 0.00E,999.9, 010000,
061800,99999, 19970515,   52.6,24,   44.7,24, 1023.7,24, 1023.1,24,   7.8,24,   8.2,24,  13.0, 999.9,   60.1 ,  45.9 , 0.00D,999.9, 100000,
061800,99999, 19970516,   55.4,24,   44.9,24, 1024.3,24, 1023.7,24,  11.0,24,   7.0,24,  11.1, 999.9,   67.3 ,  25.9 , 0.00D,999.9, 000000,
061800,99999, 19970517,   55.7,24,   41.5,24, 1021.7,24, 1021.1,24,  14.5,24,  12.8,24,  19.0,  29.9,   64.0 ,  49.8 , 0.00D,999.9, 000000,
061800,99999, 19970518,   51.4,24,   44.7,24, 1014.8,24, 1014.2,24,  12.0,24,   8.9,24,  13.0, 999.9,   56.3 ,  48.2 , 0.00E,999.9, 010000,
061800,99999, 19970519,   51.1,24,   43.2,24, 1010.5,24, 1009.9,24,   9.6,24,   9.8,24,  16.9, 999.9,   60.4 ,  41.0*, 0.00H,999.9, 010000,
061800,99999, 19970520,   42.8,24,   37.7,24, 1009.2,24, 1008.6,24,  10.2,24,  15.1,24,  18.1,  28.0,   49.3 ,  40.3 , 0.16F,999.9, 010000,
061800,99999, 19970521,   41.4,24,   39.4,24, 1007.6,24, 1007.0,24,   8.4,24,  11.9,24,  15.0, 999.9,   43.5 ,  39.2*, 0.16E,999.9, 010000,
061800,99999, 19970522,   44.4,24,   39.7,24, 1014.1,24, 1013.5,24,   9.6,24,   6.8,24,   9.9, 999.9,   51.8*,  40.6 , 0.00E,999.9, 010000,
061800,99999, 19970523,   46.9,24,   35.7,24, 1020.6,24, 1020.0,24,  11.6,24,   5.4,24,   8.9, 999.9,   55.6 ,  39.2*, 0.01E,999.9, 000000,
